"","Ind_geo","Mes_serv","edad","est_civ","actual_direc","ingres_famim","nivel_educt","a_patr_act","retir","gener","num_pers_h"
"1","Zona 2",13,44,"casado",9,64,"Estudios Universitarios",5,0,"Hombre",2
"2","Zona 3",11,33,"casado",7,136,"Estudios de Postgrado",5,0,"Hombre",6
"3","Zona 3",68,52,"casado",24,116,"no completo enseñanza básica",29,0,"Mujer",2
"4","Zona 2",33,33,"soltero",12,33,"Enseñanza básica",0,0,"Mujer",1
"5","Zona 2",23,30,"casado",9,30,"no completo enseñanza básica",2,0,"Hombre",4
"6","Zona 2",41,39,"soltero",17,78,"Enseñanza básica",16,0,"Mujer",1
"7","Zona 3",45,22,"casado",2,19,"Enseñanza básica",4,0,"Mujer",5
"8","Zona 2",38,35,"soltero",5,76,"Enseñanza básica",10,0,"Hombre",3
"9","Zona 3",45,59,"casado",7,166,"Estudios Universitarios",31,0,"Hombre",5
"10","Zona 1",68,41,"casado",21,72,"no completo enseñanza básica",22,0,"Hombre",3
"11","Zona 2",5,33,"soltero",10,125,"Estudios Universitarios",5,0,"Mujer",1
"12","Zona 3",7,35,"soltero",14,80,"Enseñanza básica",15,0,"Mujer",1
"13","Zona 1",41,38,"casado",8,37,"Enseñanza básica",9,0,"Mujer",3
"14","Zona 2",57,54,"casado",30,115,"Estudios Universitarios",23,0,"Mujer",3
"15","Zona 2",9,46,"soltero",3,25,"no completo enseñanza básica",8,0,"Mujer",2
"16","Zona 1",29,38,"casado",12,75,"Estudios de Postgrado",1,0,"Hombre",4
"17","Zona 3",60,57,"soltero",38,162,"Enseñanza básica",30,0,"Hombre",1
"18","Zona 3",34,48,"soltero",3,49,"Enseñanza básica",6,0,"Mujer",3
"19","Zona 2",1,24,"soltero",3,20,"no completo enseñanza básica",3,0,"Hombre",1
"20","Zona 1",26,29,"casado",3,77,"Estudios Universitarios",2,0,"Hombre",4
"21","Zona 3",6,30,"soltero",7,16,"Enseñanza Media",1,0,"Mujer",1
"22","Zona 1",68,52,"casado",17,120,"no completo enseñanza básica",24,0,"Hombre",2
"23","Zona 3",53,33,"soltero",10,101,"Estudios de Postgrado",4,0,"Mujer",2
"24","Zona 3",55,48,"casado",19,67,"no completo enseñanza básica",25,0,"Hombre",3
"25","Zona 3",14,43,"casado",18,36,"no completo enseñanza básica",5,0,"Hombre",5
"26","Zona 2",1,21,"soltero",0,33,"Enseñanza básica",0,0,"Mujer",3
"27","Zona 2",42,40,"soltero",7,37,"Enseñanza básica",8,0,"Mujer",1
"28","Zona 3",25,33,"casado",11,31,"no completo enseñanza básica",5,0,"Hombre",4
"29","Zona 1",9,21,"casado",1,17,"Enseñanza básica",2,0,"Mujer",3
"30","Zona 2",13,33,"casado",9,19,"Estudios Universitarios",0,0,"Mujer",2
"31","Zona 1",56,37,"casado",6,36,"no completo enseñanza básica",13,0,"Mujer",2
"32","Zona 1",71,53,"casado",27,155,"Estudios de Postgrado",12,0,"Hombre",2
"33","Zona 1",35,50,"casado",26,140,"Enseñanza básica",21,0,"Mujer",4
"34","Zona 1",11,27,"casado",8,55,"Estudios de Postgrado",0,0,"Hombre",3
"35","Zona 2",60,46,"casado",13,163,"Enseñanza Media",24,0,"Hombre",2
"36","Zona 3",20,35,"casado",11,52,"Estudios Universitarios",0,0,"Hombre",2
"37","Zona 2",54,60,"soltero",38,211,"Estudios Universitarios",25,0,"Hombre",1
"38","Zona 1",44,57,"casado",1,186,"Enseñanza básica",17,0,"Hombre",2
"39","Zona 1",11,41,"casado",0,39,"no completo enseñanza básica",1,0,"Mujer",2
"40","Zona 2",72,57,"soltero",34,22,"Enseñanza básica",35,1,"Mujer",1
"41","Zona 3",10,41,"soltero",7,30,"no completo enseñanza básica",7,0,"Hombre",1
"42","Zona 2",15,28,"soltero",0,29,"Enseñanza básica",4,0,"Mujer",1
"43","Zona 2",27,28,"casado",4,23,"Enseñanza básica",8,0,"Hombre",5
